	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36
taxon_150	0	0	0	688	0	0	0	1235	10836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_151	2780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9018	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_152	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	6211	0	0	0	0	3771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_153	1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	940	0	6489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_154	3183	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	4829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_155	2716	0	0	0	0	0	0	0	1717	0	0	0	0	0	0	0	0	0	0	0	3469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_156	0	0	0	0	0	0	0	0	0	0	0	0	1116	1640	0	0	0	0	4930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_157	0	0	0	4461	0	0	0	0	0	0	0	0	0	0	2544	0	0	0	590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_158	0	0	3658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	1143	0	0	0	0	0	0	0	0	0
taxon_159	179	0	0	353	0	0	0	0	0	0	0	0	0	3904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_160	929	0	0	0	0	0	0	0	0	0	0	0	1289	0	0	0	1898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_161	275	0	0	0	0	0	0	0	0	0	0	0	0	1763	0	0	0	0	0	0	2066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_162	0	0	0	0	0	0	0	0	0	0	0	1223	0	0	842	1879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_163	0	0	0	0	2731	0	0	1063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_164	0	0	0	0	0	0	306	0	0	0	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2971	0	0	0	0	0	0	0	0	0
